subject_id,cluster
sub-28788,0
sub-29030,1
sub-28822,2
sub-0051223,0
sub-29733,2
sub-29742,0
sub-29190,2
sub-0050986,1
sub-29674,0
sub-0051026,1
sub-0050130,0
sub-28992,2
sub-0050601,2
sub-29799,1
sub-29403,2
sub-0051011,0
sub-0050518,2
sub-29881,0
sub-28958,2
sub-0051202,2
sub-30019,0
sub-0051017,0
sub-0051164,1
sub-29111,0
sub-0050607,0
sub-29664,2
sub-0051327,2
sub-29869,2
sub-29656,1
sub-30005,1
sub-29013,0
sub-0050292,1
sub-0050241,0
sub-29569,0
sub-29096,2
sub-29545,1
sub-28933,2
sub-28824,1
sub-0050057,0
sub-29203,2
sub-0050125,1
sub-0051234,2
sub-0050291,1
sub-0050408,2
sub-0050704,0
sub-0050248,2
sub-30000,0
sub-30150,2
sub-29587,1
sub-29865,1
sub-29283,0
sub-0051463,0
sub-0051325,2
sub-0050285,1
sub-29183,1
sub-29103,1
sub-0051171,0
sub-0050974,2
sub-28754,2
sub-0050118,2
sub-29481,2
sub-28817,2
sub-29209,0
sub-0050129,0
sub-0050483,2
sub-0050954,1
sub-0050521,2
sub-0050748,1
sub-29879,0
sub-0051576,0
sub-0050232,1
sub-29658,0
sub-0050278,0
sub-0051173,2
sub-0050999,2
sub-0050984,2
sub-0050526,1
sub-0051229,1
sub-28963,2
sub-0050273,1
sub-0051178,2
sub-0050996,2
sub-0050791,1
sub-0051573,1
sub-29627,2
sub-29870,1
sub-30151,0
sub-28864,1
sub-29566,1
sub-0050301,1
sub-0050500,1
sub-28693,1
sub-29588,0
sub-0050312,1
sub-28835,1
sub-0050254,0
sub-29521,0
sub-0050743,2
sub-29099,1
sub-0050247,0
sub-29666,0
sub-0051301,1
sub-0050056,0
sub-0050249,1
sub-29794,1
sub-0050997,0
sub-0050527,0
sub-29393,1
sub-29281,0
sub-0050011,0
sub-29877,0
sub-28689,2
sub-0050403,1
sub-0050399,0
sub-0051025,2
sub-0050010,0
sub-0051201,2
sub-29059,2
sub-29208,1
sub-29015,1
sub-29886,1
sub-0050686,1
sub-0050965,1
sub-28843,0
sub-29508,1
sub-29734,2
sub-0050992,1
sub-0051032,2
sub-0051012,1
sub-0050627,1
sub-0051464,2
sub-0050297,2
sub-28844,0
sub-0051585,2
sub-29409,0
sub-0050128,2
sub-0050756,1
sub-0050516,2
sub-29740,0
sub-29068,2
sub-0051580,1
sub-0050960,1
sub-29216,2
sub-29043,1
sub-29667,2
sub-29435,0
sub-28874,2
sub-29549,0
sub-29066,2
sub-0050024,1
sub-0050253,0
sub-29109,0
sub-0050413,1
sub-0050498,1
sub-0050529,1
sub-0050314,1
sub-0050279,0
sub-0050412,0
sub-29660,0
sub-0051606,1
sub-0050981,2
sub-29214,2
sub-28800,1
sub-29543,1
sub-0050014,2
sub-28855,2
sub-29211,2
sub-0050744,1
sub-0050602,1
sub-29027,2
sub-0051014,2
sub-0051302,2
sub-28787,2
sub-28898,0
sub-29872,0
sub-0050988,1
sub-29670,2
sub-0050502,2
sub-29539,2
sub-29031,1
sub-30016,1
sub-29882,2
sub-0050952,2
sub-28905,0
sub-29063,2
sub-0050020,2
sub-0050991,2
sub-0050480,2
sub-0050004,2
sub-28865,1
sub-0050976,1
sub-30011,2
sub-0050824,2
sub-28890,1
sub-0050978,1
sub-0051019,0
sub-0050647,2
sub-0051582,0
sub-0050690,1
sub-0050496,1
sub-0050411,1
sub-0050282,1
sub-0051248,0
sub-29610,2
sub-29385,2
sub-28807,2
sub-0050186,1
sub-28941,0
sub-0051249,2
sub-0051293,2
sub-0051318,2
sub-29400,1
sub-0050027,1
sub-29735,0
sub-0050983,1
sub-29456,2
sub-0051292,0
sub-28873,0
sub-0050525,1
sub-29213,0
sub-0050008,0
sub-29540,2
sub-29553,0
sub-0051214,2
sub-29542,1
sub-0050289,2
sub-28838,0
sub-29477,0
sub-29797,0
sub-28679,1
sub-0050616,1
sub-0050119,1
sub-29064,1
sub-0050013,1
sub-28938,0
sub-0050287,0
sub-29285,2
sub-0050515,1
sub-29500,0
sub-0051015,1
sub-0051351,2
sub-29055,0
sub-0050689,0
sub-28972,0
sub-0050493,2
sub-28937,1
sub-0051007,2
sub-29434,1
sub-28691,1
sub-0050993,0
sub-0051162,0
sub-0050121,2
sub-30026,2
sub-0050187,2
sub-0050250,2
sub-29595,1
sub-0050532,2
sub-29497,0
sub-0050754,2
sub-0051583,1
sub-0050528,2
sub-0051170,1
sub-0050006,2
sub-29628,1
sub-29222,2
sub-28861,0
sub-28871,0
sub-0050152,0
sub-0050994,1
sub-29197,2
sub-0050131,1
sub-29115,0
sub-29677,0
sub-0050319,1
sub-0050324,1
sub-0050708,2
sub-29415,2
sub-28920,2
sub-0050694,2
sub-0051237,0
sub-0050320,1
sub-0051204,1
sub-0050485,2
sub-0050252,0
sub-28690,0
sub-0050025,2
sub-28908,0
sub-28887,1
sub-29515,1
sub-0050623,1
sub-0051241,2
sub-0051033,2
sub-29194,2
sub-29188,0
sub-0050272,2
sub-29389,0
sub-0050621,2
sub-28936,2
sub-0050803,0
