subject_id,cluster
sub-28788,1
sub-29030,0
sub-28822,0
sub-0051223,1
sub-29733,0
sub-29742,1
sub-29190,1
sub-0050986,0
sub-29674,1
sub-0051026,0
sub-0050130,1
sub-28992,0
sub-0050601,1
sub-29799,0
sub-29403,0
sub-0051011,1
sub-0050518,1
sub-29881,1
sub-28958,0
sub-0051202,0
sub-30019,1
sub-0051017,1
sub-0051164,0
sub-29111,1
sub-0050607,1
sub-29664,0
sub-0051327,0
sub-29869,0
sub-29656,0
sub-30005,0
sub-29013,1
sub-0050292,0
sub-0050241,1
sub-29569,1
sub-29096,0
sub-29545,0
sub-28933,1
sub-28824,0
sub-0050057,1
sub-29203,0
sub-0050125,0
sub-0051234,1
sub-0050291,0
sub-0050408,1
sub-0050704,1
sub-0050248,0
sub-30000,1
sub-30150,0
sub-29587,0
sub-29865,0
sub-29283,1
sub-0051463,1
sub-0051325,0
sub-0050285,0
sub-29183,0
sub-29103,1
sub-0051171,1
sub-0050974,1
sub-28754,1
sub-0050118,0
sub-29481,1
sub-28817,0
sub-29209,1
sub-0050129,1
sub-0050483,0
sub-0050954,0
sub-0050521,1
sub-0050748,0
sub-29879,1
sub-0051576,1
sub-0050232,0
sub-29658,1
sub-0050278,1
sub-0051173,0
sub-0050999,0
sub-0050984,1
sub-0050526,0
sub-0051229,0
sub-28963,0
sub-0050273,0
sub-0051178,0
sub-0050996,1
sub-0050791,0
sub-0051573,0
sub-29627,1
sub-29870,0
sub-30151,1
sub-28864,0
sub-29566,0
sub-0050301,0
sub-0050500,0
sub-28693,0
sub-29588,1
sub-0050312,0
sub-28835,0
sub-0050254,1
sub-29521,1
sub-0050743,0
sub-29099,0
sub-0050247,1
sub-29666,1
sub-0051301,0
sub-0050056,1
sub-0050249,0
sub-29794,0
sub-0050997,1
sub-0050527,1
sub-29393,0
sub-29281,1
sub-0050011,1
sub-29877,1
sub-28689,1
sub-0050403,0
sub-0050399,1
sub-0051025,1
sub-0050010,1
sub-0051201,1
sub-29059,0
sub-29208,0
sub-29015,0
sub-29886,0
sub-0050686,0
sub-0050965,0
sub-28843,1
sub-29508,0
sub-29734,1
sub-0050992,0
sub-0051032,0
sub-0051012,0
sub-0050627,0
sub-0051464,1
sub-0050297,0
sub-28844,1
sub-0051585,0
sub-29409,1
sub-0050128,0
sub-0050756,0
sub-0050516,0
sub-29740,1
sub-29068,0
sub-0051580,0
sub-0050960,0
sub-29216,0
sub-29043,0
sub-29667,0
sub-29435,1
sub-28874,0
sub-29549,1
sub-29066,0
sub-0050024,0
sub-0050253,1
sub-29109,1
sub-0050413,0
sub-0050498,0
sub-0050529,0
sub-0050314,0
sub-0050279,1
sub-0050412,1
sub-29660,1
sub-0051606,0
sub-0050981,0
sub-29214,1
sub-28800,0
sub-29543,0
sub-0050014,1
sub-28855,1
sub-29211,0
sub-0050744,0
sub-0050602,0
sub-29027,1
sub-0051014,1
sub-0051302,1
sub-28787,1
sub-28898,1
sub-29872,1
sub-0050988,0
sub-29670,0
sub-0050502,1
sub-29539,0
sub-29031,0
sub-30016,0
sub-29882,1
sub-0050952,0
sub-28905,1
sub-29063,0
sub-0050020,1
sub-0050991,0
sub-0050480,1
sub-0050004,0
sub-28865,0
sub-0050976,0
sub-30011,1
sub-0050824,0
sub-28890,0
sub-0050978,0
sub-0051019,1
sub-0050647,1
sub-0051582,1
sub-0050690,0
sub-0050496,0
sub-0050411,0
sub-0050282,0
sub-0051248,1
sub-29610,0
sub-29385,0
sub-28807,0
sub-0050186,0
sub-28941,1
sub-0051249,1
sub-0051293,0
sub-0051318,1
sub-29400,0
sub-0050027,0
sub-29735,1
sub-0050983,0
sub-29456,0
sub-0051292,1
sub-28873,1
sub-0050525,0
sub-29213,1
sub-0050008,1
sub-29540,1
sub-29553,1
sub-0051214,1
sub-29542,0
sub-0050289,1
sub-28838,1
sub-29477,1
sub-29797,1
sub-28679,0
sub-0050616,0
