subject_id,cluster
sub-28788,1
sub-29030,4
sub-28822,2
sub-0051223,0
sub-29733,0
sub-29742,1
sub-29190,2
sub-0050986,0
sub-29674,3
sub-0051026,4
sub-0050130,3
sub-28992,2
sub-0050601,2
sub-29799,0
sub-29403,2
sub-0051011,0
sub-0050518,2
sub-29881,1
sub-28958,2
sub-0051202,2
sub-30019,3
sub-0051017,1
sub-0051164,4
sub-29111,3
sub-0050607,1
sub-29664,2
sub-0051327,2
sub-29869,2
sub-29656,4
sub-30005,4
sub-29013,0
sub-0050292,0
sub-0050241,3
sub-29569,3
sub-29096,2
sub-29545,4
sub-28933,2
sub-28824,1
sub-0050057,1
sub-29203,2
sub-0050125,4
sub-0051234,2
sub-0050291,0
sub-0050408,3
sub-0050704,3
sub-0050248,2
sub-30000,1
sub-30150,2
sub-29587,0
sub-29865,4
sub-29283,3
sub-0051463,0
sub-0051325,2
sub-0050285,4
sub-29183,0
sub-29103,0
sub-0051171,3
sub-0050974,0
sub-28754,3
sub-0050118,2
sub-29481,0
sub-28817,2
sub-29209,1
sub-0050129,1
sub-0050483,0
sub-0050954,0
sub-0050521,2
sub-0050748,1
sub-29879,3
sub-0051576,0
sub-0050232,4
sub-29658,3
sub-0050278,3
sub-0051173,2
sub-0050999,2
sub-0050984,2
sub-0050526,0
sub-0051229,0
sub-28963,2
sub-0050273,4
sub-0051178,0
sub-0050996,2
sub-0050791,0
sub-0051573,0
sub-29627,0
sub-29870,4
sub-30151,3
sub-28864,1
sub-29566,0
sub-0050301,0
sub-0050500,4
sub-28693,4
sub-29588,3
sub-0050312,0
sub-28835,0
sub-0050254,3
sub-29521,1
sub-0050743,2
sub-29099,4
sub-0050247,3
sub-29666,1
sub-0051301,4
sub-0050056,3
sub-0050249,0
sub-29794,4
sub-0050997,1
sub-0050527,3
sub-29393,1
sub-29281,0
sub-0050011,3
sub-29877,3
sub-28689,2
sub-0050403,4
sub-0050399,3
sub-0051025,2
sub-0050010,3
sub-0051201,2
sub-29059,1
sub-29208,1
sub-29015,0
sub-29886,4
sub-0050686,0
sub-0050965,1
sub-28843,3
sub-29508,0
sub-29734,0
sub-0050992,4
sub-0051032,1
sub-0051012,4
sub-0050627,4
sub-0051464,2
sub-0050297,0
sub-28844,3
sub-0051585,2
sub-29409,3
sub-0050128,2
sub-0050756,0
sub-0050516,2
sub-29740,3
sub-29068,2
sub-0051580,0
sub-0050960,4
sub-29216,2
sub-29043,4
sub-29667,2
sub-29435,3
sub-28874,1
sub-29549,0
sub-29066,2
sub-0050024,0
sub-0050253,3
sub-29109,3
sub-0050413,1
sub-0050498,2
sub-0050529,0
sub-0050314,0
sub-0050279,1
sub-0050412,1
sub-29660,1
sub-0051606,4
sub-0050981,1
sub-29214,2
sub-28800,4
sub-29543,4
sub-0050014,0
sub-28855,2
sub-29211,2
sub-0050744,0
sub-0050602,4
sub-29027,2
sub-0051014,2
sub-0051302,3
sub-28787,2
sub-28898,1
sub-29872,3
sub-0050988,0
sub-29670,0
sub-0050502,1
sub-29539,4
sub-29031,4
sub-30016,4
sub-29882,0
sub-0050952,2
sub-28905,2
sub-29063,2
sub-0050020,0
sub-0050991,0
sub-0050480,2
sub-0050004,2
sub-28865,4
sub-0050976,1
sub-30011,2
sub-0050824,2
sub-28890,0
sub-0050978,1
sub-0051019,3
sub-0050647,0
sub-0051582,3
sub-0050690,4
sub-0050496,4
sub-0050411,0
sub-0050282,4
sub-0051248,3
sub-29610,1
sub-29385,2
sub-28807,2
sub-0050186,4
sub-28941,2
sub-0051249,2
sub-0051293,2
sub-0051318,2
