subject_id,cluster
sub-28788,6
sub-29030,2
sub-28822,4
sub-0051223,5
sub-29733,4
sub-29742,1
sub-29190,7
sub-0050986,5
sub-29674,6
sub-0051026,2
sub-0050130,1
sub-28992,0
sub-0050601,6
sub-29799,5
sub-29403,0
sub-0051011,6
sub-0050518,6
sub-29881,1
sub-28958,7
sub-0051202,0
sub-30019,6
sub-0051017,7
sub-0051164,2
sub-29111,3
sub-0050607,5
sub-29664,0
sub-0051327,0
sub-29869,0
sub-29656,4
sub-30005,2
sub-29013,3
sub-0050292,5
sub-0050241,3
sub-29569,3
sub-29096,4
sub-29545,4
sub-28933,6
sub-28824,7
sub-0050057,7
sub-29203,0
sub-0050125,2
sub-0051234,0
sub-0050291,5
sub-0050408,7
sub-0050704,3
sub-0050248,0
sub-30000,1
sub-30150,0
sub-29587,5
sub-29865,4
sub-29283,3
sub-0051463,3
sub-0051325,0
sub-0050285,4
sub-29183,7
sub-29103,5
sub-0051171,1
sub-0050974,5
sub-28754,6
sub-0050118,0
sub-29481,4
sub-28817,0
sub-29209,1
sub-0050129,7
sub-0050483,4
sub-0050954,4
sub-0050521,6
sub-0050748,5
sub-29879,3
sub-0051576,5
sub-0050232,2
sub-29658,6
sub-0050278,6
sub-0051173,7
sub-0050999,0
sub-0050984,6
sub-0050526,4
sub-0051229,5
sub-28963,0
sub-0050273,2
sub-0051178,4
sub-0050996,6
sub-0050791,5
sub-0051573,5
sub-29627,4
sub-29870,2
sub-30151,6
sub-28864,5
sub-29566,5
sub-0050301,5
sub-0050500,4
sub-28693,2
sub-29588,3
sub-0050312,5
sub-28835,5
sub-0050254,3
sub-29521,7
sub-0050743,0
sub-29099,7
sub-0050247,3
sub-29666,7
sub-0051301,2
sub-0050056,6
sub-0050249,0
sub-29794,5
sub-0050997,1
sub-0050527,6
sub-29393,7
sub-29281,3
sub-0050011,3
sub-29877,3
sub-28689,0
sub-0050403,7
sub-0050399,6
sub-0051025,6
sub-0050010,6
sub-0051201,6
sub-29059,7
sub-29208,7
sub-29015,5
sub-29886,2
sub-0050686,5
sub-0050965,7
sub-28843,3
sub-29508,5
sub-29734,7
sub-0050992,2
sub-0051032,7
sub-0051012,2
sub-0050627,2
sub-0051464,7
sub-0050297,4
sub-28844,6
sub-0051585,7
sub-29409,3
sub-0050128,0
sub-0050756,5
sub-0050516,0
sub-29740,6
sub-29068,0
sub-0051580,5
sub-0050960,2
sub-29216,0
sub-29043,2
sub-29667,0
sub-29435,3
sub-28874,7
sub-29549,5
sub-29066,0
sub-0050024,5
sub-0050253,3
sub-29109,3
sub-0050413,7
sub-0050498,0
sub-0050529,5
sub-0050314,4
sub-0050279,7
sub-0050412,1
sub-29660,1
sub-0051606,2
sub-0050981,7
